episode,score,entropy,loss_actor,loss_critic,elapsed_s
1,23.0,0.6488412022590637,-0.003242572071030736,0.005525143817067146,0.5
2,17.0,0.675944447517395,-0.0013284472515806556,0.00181667716242373,0.8
3,17.0,0.6770230531692505,-0.000682466197758913,0.0017524432623758912,1.0
4,19.0,0.6815102100372314,-0.0007424072246067226,0.0014249887317419052,1.2
5,12.0,0.6788094639778137,-0.0014614065876230597,0.0016692440258339047,1.5
6,34.0,0.6755920052528381,-0.0010474814334884286,0.002344588516280055,1.9
7,21.0,0.6480706930160522,-0.08619508892297745,0.0037116440944373608,2.2
8,28.0,0.6882146000862122,-0.0007049888372421265,0.0028079745825380087,2.5
9,18.0,0.6842501759529114,-0.0006344119901768863,0.001456436119042337,2.7
10,28.0,0.6729689240455627,-0.0002934858202934265,0.002553721657022834,3.1
11,36.0,0.6735104322433472,-0.0006395634263753891,0.0015581257175654173,3.6
12,25.0,0.6910873651504517,-0.00044901372166350484,0.004810694605112076,3.9
13,16.0,0.6818792819976807,-0.00033452361822128296,0.001203222549520433,4.1
14,11.0,0.6920533776283264,-0.0008517178357578814,0.0030830649193376303,4.3
15,29.0,0.6760431528091431,-0.0009330179891549051,0.0015295440098270774,4.6
16,27.0,0.672872006893158,-0.0013542516389861703,0.0018258162308484316,5.0
17,22.0,0.6689661145210266,0.00020688772201538086,0.0009029469219967723,5.3
18,12.0,0.6924557089805603,-0.0006524535710923374,0.002929588546976447,5.5
19,19.0,0.6807050704956055,-0.0011290546972304583,0.0013293154770508409,5.7
20,18.0,0.6886981129646301,-0.0007883012294769287,0.0014099342515692115,5.9
21,15.0,0.6886804699897766,-0.0003182093205396086,0.0014558742986992002,6.1
22,12.0,0.6840084195137024,-0.0015211403369903564,0.001697190455161035,6.3
23,12.0,0.6846879124641418,-0.0022775183897465467,0.001741020125336945,6.4
24,13.0,0.6882705092430115,-0.001007281825877726,0.0012770125176757574,6.6
25,44.0,0.6561654210090637,-0.0001874864101409912,0.001703465823084116,7.2
26,17.0,0.6924585700035095,-0.001195304561406374,0.0019766944460570812,7.4
27,19.0,0.677109956741333,-0.0007192649063654244,0.0013025394873693585,7.6
28,28.0,0.6835217475891113,-0.001297973096370697,0.0008092105854302645,8.0
29,17.0,0.6817195415496826,-0.001509151072241366,0.0014925445429980755,8.2
30,32.0,0.6758537292480469,-0.0005537171964533627,0.0015211799181997776,8.6
31,55.0,0.6861268281936646,-0.0007837334997020662,0.0007182770641520619,9.3
32,15.0,0.6871059536933899,-0.0008612076635472476,0.0011770668206736445,9.5
33,19.0,0.688571572303772,-0.0010903070215135813,0.001024964265525341,9.7
34,20.0,0.6868329048156738,-0.0007602691766805947,0.001149038434959948,9.9
35,19.0,0.6813365817070007,-0.0005020216922275722,0.0008608217467553914,10.2
36,16.0,0.68828946352005,-0.00036013126373291016,0.0013801659224554896,10.4
37,34.0,0.6909909248352051,-0.00021321699023246765,0.002677230630069971,10.8
38,24.0,0.6921408176422119,-0.0026062875986099243,0.004464234225451946,11.1
39,19.0,0.6762834191322327,-0.0006048181094229221,0.0014647863572463393,11.4
40,19.0,0.6874222755432129,-0.0006029793876223266,0.0012775706127285957,11.6
41,34.0,0.688306450843811,-0.00028069052495993674,0.0012990831164643168,12.0
42,25.0,0.6859766244888306,-0.0023109912872314453,0.0010372422402724624,12.4
43,28.0,0.6629951000213623,-0.0006518959999084473,0.001461018226109445,12.8
44,17.0,0.687900185585022,-0.00043463357724249363,0.0009867073968052864,13.0
45,13.0,0.686562180519104,-0.0004691481590270996,0.0011931640328839421,13.2
46,20.0,0.6889125108718872,-0.0003989219549112022,0.002313253004103899,13.5
47,34.0,0.6709814667701721,-0.0007263592560775578,0.0011106159072369337,14.0
48,22.0,0.6829406023025513,-0.0049697160720825195,0.002655875636264682,14.3
49,35.0,0.6886737942695618,-0.0012256562476977706,0.0017309103859588504,14.8
50,25.0,0.6902507543563843,-0.0010322093730792403,0.0010035447776317596,15.1
51,14.0,0.6837955713272095,-0.0007640165858902037,0.0006833405350334942,15.3
52,17.0,0.6858992576599121,-2.498135836503934e-05,0.0011257892474532127,15.5
53,34.0,0.6845071911811829,-3.9083617593860254e-05,0.0009178514592349529,16.0
54,14.0,0.687756359577179,-0.0003232508897781372,0.0013863513013347983,16.2
55,12.0,0.6827759742736816,-0.0007417201995849609,0.0007542338571511209,16.4
56,26.0,0.6783661246299744,-0.00018353760242462158,0.0007741854060441256,16.8
57,35.0,0.6898843050003052,-9.509722440270707e-05,0.0007899774354882538,17.2
58,21.0,0.6926540732383728,0.17348483204841614,0.015077768824994564,17.6
59,32.0,0.6683759689331055,-0.001153449178673327,0.0007203247514553368,18.0
60,15.0,0.6853899359703064,-0.0007134171319194138,0.0012629878474399447,18.2
61,12.0,0.6832312941551208,-0.0003035888075828552,0.0009971876861527562,18.3
62,35.0,0.6660448908805847,-0.0005653063417412341,0.0007704923045821488,18.8
63,14.0,0.6700897812843323,-0.0015174576546996832,0.000783986528404057,19.0
64,27.0,0.6841491460800171,1.8094267943524756e-05,0.0028884417843073606,19.3
65,13.0,0.6819143891334534,-0.00043372923391871154,0.0013889899710193276,19.5
66,27.0,0.6920655369758606,-0.0003593819565139711,0.0026159866247326136,19.9
67,16.0,0.6659437417984009,-0.0005692169070243835,0.0006198994815349579,20.2
68,27.0,0.6854839324951172,-0.0010700697312131524,0.0009172833524644375,20.5
69,14.0,0.6858312487602234,-0.0019582572858780622,0.0008349638083018363,20.7
70,12.0,0.6821832656860352,-0.0006869832868687809,0.0009424686431884766,20.9
71,13.0,0.6795838475227356,3.93253103538882e-05,0.000979766482487321,21.1
72,15.0,0.6816170811653137,-4.4269363570492715e-05,0.0008012399193830788,21.3
73,26.0,0.6821054816246033,-0.00033312165760435164,0.0025830043014138937,21.6
74,29.0,0.6905046105384827,-0.002810392063111067,0.00040058401646092534,22.0
75,16.0,0.682765007019043,-0.0015922896564006805,0.0005436450010165572,22.3
76,15.0,0.6763870716094971,-0.0005263924831524491,0.00042191610555164516,22.5
77,16.0,0.6795837879180908,-0.000473901629447937,0.0006426243344321847,22.7
78,15.0,0.6763331890106201,0.00011535088560776785,0.0007748417556285858,22.9
79,12.0,0.6780450940132141,-0.00022046764206606895,0.001206368557177484,23.0
80,16.0,0.6772089600563049,-0.0003005117177963257,0.0011722128838300705,23.2
81,21.0,0.6895233392715454,0.11830688267946243,0.006997233256697655,23.6
82,17.0,0.6782755851745605,-0.00048550436622463167,0.0006988481036387384,23.8
83,14.0,0.6729846596717834,-0.0006314473575912416,0.0007674095104448497,24.0
84,15.0,0.6747432947158813,3.697276042657904e-05,0.0009443416493013501,24.2
85,16.0,0.6726763844490051,3.300607204437256e-06,0.0007542414823547006,24.4
86,15.0,0.6725674271583557,-0.0002865215064957738,0.0006937914877198637,24.6
87,15.0,0.6748552322387695,-0.00023330847034230828,0.000671332876663655,24.8
88,33.0,0.6785477995872498,-0.00035891280276700854,0.000685703125782311,25.2
89,19.0,0.6728272438049316,-2.701658922887873e-05,0.0009504099725745618,25.4
90,20.0,0.6712695360183716,-0.0003363400755915791,0.0008153991075232625,25.7
91,10.0,0.673051655292511,-0.0002762615622486919,0.001042596297338605,25.8
92,13.0,0.6747036576271057,-0.00036035364610143006,0.0006379099795594811,26.0
93,17.0,0.6719988584518433,-0.00022862237528897822,0.0009409504709765315,26.2
94,15.0,0.6718065142631531,-0.00028429628582671285,0.0007703800802119076,26.4
95,12.0,0.6783954501152039,-0.0007303531165234745,0.001023397664539516,26.6
96,16.0,0.674788773059845,-0.0003642663359642029,0.0008326732204295695,26.8
97,29.0,0.688208818435669,-0.0006558895111083984,0.0005219785962253809,27.2
98,21.0,0.6821639537811279,-0.0676804929971695,0.0022779114078730345,27.5
99,14.0,0.6675262451171875,-0.0008490256150253117,0.0005729016265831888,27.7
100,14.0,0.6761525273323059,-0.0007893102592788637,0.0006754179485142231,27.9
101,23.0,0.6912606358528137,-0.0022672414779663086,0.0002561352157499641,28.2
102,34.0,0.6909598112106323,-0.00021899597777519375,0.00038108951412141323,28.7
103,30.0,0.6784161329269409,-0.0007415652507916093,0.001083043753169477,29.2
104,29.0,0.6637779474258423,-0.0021814373321831226,0.0007400261820293963,29.7
105,22.0,0.6734880805015564,0.00023558735847473145,0.0010251535568386316,30.0
106,16.0,0.6455854177474976,-0.0015936344861984253,0.0005500888219103217,30.3
